id	root	asset	uexp_offset	mode	export	source	translation	comment
bc8617074832	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	77	narrow	DT_Quests	Fetch Me Bucket	Принеси ведро	
82c383730785	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	151	narrow	DT_Quests	Fetch the Bucket near the Castle Gates	Найди ведро у замковых ворот	
be894ae11710	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	248	narrow	DT_Quests	Fetch my old bucket	Найди мое старое ведро	
7c3b5fbec369	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	345	narrow	DT_Quests	Return the Bucket to the Castle Gates	Верни ведро к замковым воротам	
163a28c5d460	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	441	narrow	DT_Quests	Description of the objective.	Описание цели.	
0459bba3d2e3	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	531	narrow	DT_Quests	"Oi a new face, and much uglier and dumber than the last!                    
Well, yee'll do. Left me favorite BUCKET just outside the GATE. 
These GATES right here ya free loader . . .         
Maybe by the well . . .                         
Or one of the wagons . . .                                             
Or Maybe in the shed . . .                                    
Oh well, I can't remember . . .    "	О, новая рожа. Еще страшнее и тупее прошлой! Ладно, сойдешь. Я оставил свое любимое ВЕДРО где-то у ВОРОТ. У этих самых ворот, дармоед... Может, у колодца... Или у одной из телег... Или в сарае... Не помню.	
06ca8a9ad68b	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1040	narrow	DT_Quests	What Are Those Rocks?	Что это за камни?	
3168ea5b7f3a	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1120	narrow	DT_Quests	Find out how to make the stange Glowing Flesh go away out front of the Gates	Узнай, как убрать странную светящуюся плоть перед воротами	
d1fdde062a43	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1255	narrow	DT_Quests	Get the rooooocks	Добудь кааамни	
4434471952ca	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1351	narrow	DT_Quests	Return to the Gates	Вернись к воротам	
a25715482a30	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1429	narrow	DT_Quests	Speak to Villager at the Castle Gates	Поговори с жителем у замковых ворот	
d4538eeda8bf	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	1527	narrow	DT_Quests	"Aye . . . wait who be you? A new Knight, gods help us . . .        
THREE PILLARS of FLESH have broke up from outside the GATES!             
Now yee gotta go figure out howda get rid of em! They just popped back up when I tried pokin em with a stick, its creeping all us out . . .                                                                                                
Hurry up now! They must be up to no good. I can feel it . . ."	Эй... постой, ты кто таков? Новый рыцарь? Боги, сжальтесь над нами... У ВОРОТ поднялись ТРИ СТОЛБА ПЛОТИ! Теперь тебе разбираться, как от них избавиться. Я ткнул один палкой, а он снова вылез. Всех от этого воротит... Шевелись. Добра от них не жди, нутром чую.	
2cba4ffdd377	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2058	narrow	DT_Quests	Rid That Growth	Избавься от нароста	
0c8f7ffbefa7	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2132	narrow	DT_Quests	Click and Hold Interact on the Red Growth outside the Castle Walls	Зажми взаимодействие на красном наросте за стенами замка	
390cc4b52eae	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2257	narrow	DT_Quests	Get the mushrooooom	Добудь гриииб	
e3801410bf32	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2355	narrow	DT_Quests	Return to the Gates	Вернись к воротам	
bce377bedb3a	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2433	narrow	DT_Quests	Return to the Castle Gates	Вернись к замковым воротам	
